candidate,office,district,party,county,precinct,votes,winner
David Baria,US Senate,,DEM,,Lincoln,173,
Jensen Bohren,US Senate,,DEM,,Lincoln,37,
Jerone Garland,US Senate,,DEM,,Lincoln,62,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lincoln,85,
Omeria Scott,US Senate,,DEM,,Lincoln,130,
Howard Sherman,US Senate,,DEM,,Lincoln,342,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lincoln,,
Bennie Thompson,US House Representatives,2,DEM,,Lincoln,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lincoln,287,
Michael Ted Evans,US House Representatives,3,DEM,,Lincoln,531,
Jeramey Anderson ,US House Representatives,4,DEM,,Lincoln,,
David Baria,US Senate,,DEM,,Lowndes,339,
Jensen Bohren,US Senate,,DEM,,Lowndes,40,
Jerone Garland,US Senate,,DEM,,Lowndes,61,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Lowndes,59,
Omeria Scott,US Senate,,DEM,,Lowndes,298,
Howard Sherman,US Senate,,DEM,,Lowndes,741,
Randy Mack Wadkins,US House Representatives,1,DEM,,Lowndes,1148,
Bennie Thompson,US House Representatives,2,DEM,,Lowndes,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Lowndes,,
Michael Ted Evans,US House Representatives,3,DEM,,Lowndes,,
Jeramey Anderson ,US House Representatives,4,DEM,,Lowndes,,
David Baria,US Senate,,DEM,,Madison,1231,
Jensen Bohren,US Senate,,DEM,,Madison,96,
Jerone Garland,US Senate,,DEM,,Madison,177,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Madison,195,
Omeria Scott,US Senate,,DEM,,Madison,702,
Howard Sherman,US Senate,,DEM,,Madison,1309,
Randy Mack Wadkins,US House Representatives,1,DEM,,Madison,,
Bennie Thompson,US House Representatives,2,DEM,,Madison,1510,
Kevin Michael Aycox,US House Representatives,3,DEM,,Madison,982,
Michael Ted Evans,US House Representatives,3,DEM,,Madison,1193,
Jeramey Anderson ,US House Representatives,4,DEM,,Madison,,
David Baria,US Senate,,DEM,,Marion,127,
Jensen Bohren,US Senate,,DEM,,Marion,33,
Jerone Garland,US Senate,,DEM,,Marion,55,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Marion,51,
Omeria Scott,US Senate,,DEM,,Marion,421,
Howard Sherman,US Senate,,DEM,,Marion,142,
Randy Mack Wadkins,US House Representatives,1,DEM,,Marion,,
Bennie Thompson,US House Representatives,2,DEM,,Marion,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Marion,,
Michael Ted Evans,US House Representatives,3,DEM,,Marion,,
Jeramey Anderson ,US House Representatives,4,DEM,,Marion,721,
David Baria,US Senate,,DEM,,Marshall,305,
Jensen Bohren,US Senate,,DEM,,Marshall,58,
Jerone Garland,US Senate,,DEM,,Marshall,60,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Marshall,60,
Omeria Scott,US Senate,,DEM,,Marshall,500,
Howard Sherman,US Senate,,DEM,,Marshall,269,
Randy Mack Wadkins,US House Representatives,1,DEM,,Marshall,812,
Bennie Thompson,US House Representatives,2,DEM,,Marshall,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Marshall,,
Michael Ted Evans,US House Representatives,3,DEM,,Marshall,,
Jeramey Anderson ,US House Representatives,4,DEM,,Marshall,,
David Baria,US Senate,,DEM,,Monroe,153,
Jensen Bohren,US Senate,,DEM,,Monroe,31,
Jerone Garland,US Senate,,DEM,,Monroe,33,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Monroe,32,
Omeria Scott,US Senate,,DEM,,Monroe,143,
Howard Sherman,US Senate,,DEM,,Monroe,322,
Randy Mack Wadkins,US House Representatives,1,DEM,,Monroe,521,
Bennie Thompson,US House Representatives,2,DEM,,Monroe,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Monroe,,
Michael Ted Evans,US House Representatives,3,DEM,,Monroe,,
Jeramey Anderson ,US House Representatives,4,DEM,,Monroe,,
David Baria,US Senate,,DEM,,Montgomery,105,
Jensen Bohren,US Senate,,DEM,,Montgomery,36,
Jerone Garland,US Senate,,DEM,,Montgomery,42,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Montgomery,47,
Omeria Scott,US Senate,,DEM,,Montgomery,57,
Howard Sherman,US Senate,,DEM,,Montgomery,151,
Randy Mack Wadkins,US House Representatives,1,DEM,,Montgomery,,
Bennie Thompson,US House Representatives,2,DEM,,Montgomery,473,
Kevin Michael Aycox,US House Representatives,3,DEM,,Montgomery,,
Michael Ted Evans,US House Representatives,3,DEM,,Montgomery,,
Jeramey Anderson ,US House Representatives,4,DEM,,Montgomery,,
David Baria,US Senate,,DEM,,Newton,120,
Jensen Bohren,US Senate,,DEM,,Newton,16,
Jerone Garland,US Senate,,DEM,,Newton,31,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Newton,32,
Omeria Scott,US Senate,,DEM,,Newton,138,
Howard Sherman,US Senate,,DEM,,Newton,318,
Randy Mack Wadkins,US House Representatives,1,DEM,,Newton,,
Bennie Thompson,US House Representatives,2,DEM,,Newton,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Newton,285,
Michael Ted Evans,US House Representatives,3,DEM,,Newton,382,
Jeramey Anderson ,US House Representatives,4,DEM,,Newton,,
David Baria,US Senate,,DEM,,Neshoba,110,
Jensen Bohren,US Senate,,DEM,,Neshoba,37,
Jerone Garland,US Senate,,DEM,,Neshoba,45,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Neshoba,27,
Omeria Scott,US Senate,,DEM,,Neshoba,75,
Howard Sherman,US Senate,,DEM,,Neshoba,330,
Randy Mack Wadkins,US House Representatives,1,DEM,,Neshoba,,
Bennie Thompson,US House Representatives,2,DEM,,Neshoba,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Neshoba,76,
Michael Ted Evans,US House Representatives,3,DEM,,Neshoba,596,
Jeramey Anderson ,US House Representatives,4,DEM,,Neshoba,,
David Baria,US Senate,,DEM,,Noxubee,56,
Jensen Bohren,US Senate,,DEM,,Noxubee,12,
Jerone Garland,US Senate,,DEM,,Noxubee,18,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Noxubee,16,
Omeria Scott,US Senate,,DEM,,Noxubee,142,
Howard Sherman,US Senate,,DEM,,Noxubee,275,
Randy Mack Wadkins,US House Representatives,1,DEM,,Noxubee,,
Bennie Thompson,US House Representatives,2,DEM,,Noxubee,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Noxubee,72,
Michael Ted Evans,US House Representatives,3,DEM,,Noxubee,424,
Jeramey Anderson ,US House Representatives,4,DEM,,Noxubee,,
David Baria,US Senate,,DEM,,Oktibbeha,568,
Jensen Bohren,US Senate,,DEM,,Oktibbeha,59,
Jerone Garland,US Senate,,DEM,,Oktibbeha,44,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Oktibbeha,70,
Omeria Scott,US Senate,,DEM,,Oktibbeha,394,
Howard Sherman,US Senate,,DEM,,Oktibbeha,485,
Randy Mack Wadkins,US House Representatives,1,DEM,,Oktibbeha,87,
Bennie Thompson,US House Representatives,2,DEM,,Oktibbeha,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Oktibbeha,424,
Michael Ted Evans,US House Representatives,3,DEM,,Oktibbeha,880,
Jeramey Anderson ,US House Representatives,4,DEM,,Oktibbeha,,
David Baria,US Senate,,DEM,,Panola,294,
Jensen Bohren,US Senate,,DEM,,Panola,49,
Jerone Garland,US Senate,,DEM,,Panola,33,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Panola,44,
Omeria Scott,US Senate,,DEM,,Panola,218,
Howard Sherman,US Senate,,DEM,,Panola,263,
Randy Mack Wadkins,US House Representatives,1,DEM,,Panola,,
Bennie Thompson,US House Representatives,2,DEM,,Panola,905,
Kevin Michael Aycox,US House Representatives,3,DEM,,Panola,,
Michael Ted Evans,US House Representatives,3,DEM,,Panola,,
Jeramey Anderson ,US House Representatives,4,DEM,,Panola,,
David Baria,US Senate,,DEM,,Pearl River,158,
Jensen Bohren,US Senate,,DEM,,Pearl River,21,
Jerone Garland,US Senate,,DEM,,Pearl River,26,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Pearl River,15,
Omeria Scott,US Senate,,DEM,,Pearl River,192,
Howard Sherman,US Senate,,DEM,,Pearl River,71,
Randy Mack Wadkins,US House Representatives,1,DEM,,Pearl River,,
Bennie Thompson,US House Representatives,2,DEM,,Pearl River,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Pearl River,,
Michael Ted Evans,US House Representatives,3,DEM,,Pearl River,,
Jeramey Anderson ,US House Representatives,4,DEM,,Pearl River,420,
David Baria,US Senate,,DEM,,Perry,46,
Jensen Bohren,US Senate,,DEM,,Perry,15,
Jerone Garland,US Senate,,DEM,,Perry,16,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Perry,15,
Omeria Scott,US Senate,,DEM,,Perry,70,
Howard Sherman,US Senate,,DEM,,Perry,64,
Randy Mack Wadkins,US House Representatives,1,DEM,,Perry,,
Bennie Thompson,US House Representatives,2,DEM,,Perry,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Perry,,
Michael Ted Evans,US House Representatives,3,DEM,,Perry,,
Jeramey Anderson ,US House Representatives,4,DEM,,Perry,179,
David Baria,US Senate,,DEM,,Pike,244,
Jensen Bohren,US Senate,,DEM,,Pike,51,
Jerone Garland,US Senate,,DEM,,Pike,78,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Pike,98,
Omeria Scott,US Senate,,DEM,,Pike,427,
Howard Sherman,US Senate,,DEM,,Pike,461,
Randy Mack Wadkins,US House Representatives,1,DEM,,Pike,,
Bennie Thompson,US House Representatives,2,DEM,,Pike,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Pike,441,
Michael Ted Evans,US House Representatives,3,DEM,,Pike,899,
Jeramey Anderson ,US House Representatives,4,DEM,,Pike,,
David Baria,US Senate,,DEM,,Pontotoc,89,
Jensen Bohren,US Senate,,DEM,,Pontotoc,14,
Jerone Garland,US Senate,,DEM,,Pontotoc,16,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Pontotoc,15,
Omeria Scott,US Senate,,DEM,,Pontotoc,30,
Howard Sherman,US Senate,,DEM,,Pontotoc,192,
Randy Mack Wadkins,US House Representatives,1,DEM,,Pontotoc,277,
Bennie Thompson,US House Representatives,2,DEM,,Pontotoc,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Pontotoc,,
Michael Ted Evans,US House Representatives,3,DEM,,Pontotoc,,
Jeramey Anderson ,US House Representatives,4,DEM,,Pontotoc,,
David Baria,US Senate,,DEM,,Prentiss,141,
Jensen Bohren,US Senate,,DEM,,Prentiss,11,
Jerone Garland,US Senate,,DEM,,Prentiss,13,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Prentiss,13,
Omeria Scott,US Senate,,DEM,,Prentiss,24,
Howard Sherman,US Senate,,DEM,,Prentiss,185,
Randy Mack Wadkins,US House Representatives,1,DEM,,Prentiss,304,
Bennie Thompson,US House Representatives,2,DEM,,Prentiss,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Prentiss,,
Michael Ted Evans,US House Representatives,3,DEM,,Prentiss,,
Jeramey Anderson ,US House Representatives,4,DEM,,Prentiss,,
David Baria,US Senate,,DEM,,Quitman,157,
Jensen Bohren,US Senate,,DEM,,Quitman,13,
Jerone Garland,US Senate,,DEM,,Quitman,15,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Quitman,24,
Omeria Scott,US Senate,,DEM,,Quitman,33,
Howard Sherman,US Senate,,DEM,,Quitman,78,
Randy Mack Wadkins,US House Representatives,1,DEM,,Quitman,,
Bennie Thompson,US House Representatives,2,DEM,,Quitman,333,
Kevin Michael Aycox,US House Representatives,3,DEM,,Quitman,,
Michael Ted Evans,US House Representatives,3,DEM,,Quitman,,
Jeramey Anderson ,US House Representatives,4,DEM,,Quitman,,
David Baria,US Senate,,DEM,,Rankin,1021,
Jensen Bohren,US Senate,,DEM,,Rankin,100,
Jerone Garland,US Senate,,DEM,,Rankin,116,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Rankin,161,
Omeria Scott,US Senate,,DEM,,Rankin,368,
Howard Sherman,US Senate,,DEM,,Rankin,998,
Randy Mack Wadkins,US House Representatives,1,DEM,,Rankin,,
Bennie Thompson,US House Representatives,2,DEM,,Rankin,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Rankin,1207,
Michael Ted Evans,US House Representatives,3,DEM,,Rankin,1496,
Jeramey Anderson ,US House Representatives,4,DEM,,Rankin,,
David Baria,US Senate,,DEM,,Scott,154,
Jensen Bohren,US Senate,,DEM,,Scott,32,
Jerone Garland,US Senate,,DEM,,Scott,42,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Scott,72,
Omeria Scott,US Senate,,DEM,,Scott,257,
Howard Sherman,US Senate,,DEM,,Scott,331,
Randy Mack Wadkins,US House Representatives,1,DEM,,Scott,,
Bennie Thompson,US House Representatives,2,DEM,,Scott,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Scott,162,
Michael Ted Evans,US House Representatives,3,DEM,,Scott,704,
Jeramey Anderson ,US House Representatives,4,DEM,,Scott,,
David Baria,US Senate,,DEM,,Sharkey,38,
Jensen Bohren,US Senate,,DEM,,Sharkey,8,
Jerone Garland,US Senate,,DEM,,Sharkey,11,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Sharkey,22,
Omeria Scott,US Senate,,DEM,,Sharkey,48,
Howard Sherman,US Senate,,DEM,,Sharkey,109,
Randy Mack Wadkins,US House Representatives,1,DEM,,Sharkey,,
Bennie Thompson,US House Representatives,2,DEM,,Sharkey,288,
Kevin Michael Aycox,US House Representatives,3,DEM,,Sharkey,,
Michael Ted Evans,US House Representatives,3,DEM,,Sharkey,,
Jeramey Anderson ,US House Representatives,4,DEM,,Sharkey,,
David Baria,US Senate,,DEM,,Simpson,151,
Jensen Bohren,US Senate,,DEM,,Simpson,32,
Jerone Garland,US Senate,,DEM,,Simpson,46,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Simpson,56,
Omeria Scott,US Senate,,DEM,,Simpson,244,
Howard Sherman,US Senate,,DEM,,Simpson,334,
Randy Mack Wadkins,US House Representatives,1,DEM,,Simpson,,
Bennie Thompson,US House Representatives,2,DEM,,Simpson,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Simpson,166,
Michael Ted Evans,US House Representatives,3,DEM,,Simpson,646,
Jeramey Anderson ,US House Representatives,4,DEM,,Simpson,,
David Baria,US Senate,,DEM,,Smith,60,
Jensen Bohren,US Senate,,DEM,,Smith,14,
Jerone Garland,US Senate,,DEM,,Smith,13,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Smith,13,
Omeria Scott,US Senate,,DEM,,Smith,179,
Howard Sherman,US Senate,,DEM,,Smith,142,
Randy Mack Wadkins,US House Representatives,1,DEM,,Smith,,
Bennie Thompson,US House Representatives,2,DEM,,Smith,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Smith,108,
Michael Ted Evans,US House Representatives,3,DEM,,Smith,293,
Jeramey Anderson ,US House Representatives,4,DEM,,Smith,,
David Baria,US Senate,,DEM,,Stone,104,
Jensen Bohren,US Senate,,DEM,,Stone,10,
Jerone Garland,US Senate,,DEM,,Stone,22,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Stone,13,
Omeria Scott,US Senate,,DEM,,Stone,53,
Howard Sherman,US Senate,,DEM,,Stone,73,
Randy Mack Wadkins,US House Representatives,1,DEM,,Stone,,
Bennie Thompson,US House Representatives,2,DEM,,Stone,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Stone,,
Michael Ted Evans,US House Representatives,3,DEM,,Stone,,
Jeramey Anderson ,US House Representatives,4,DEM,,Stone,244,
David Baria,US Senate,,DEM,,Sunflower,139,
Jensen Bohren,US Senate,,DEM,,Sunflower,26,
Jerone Garland,US Senate,,DEM,,Sunflower,32,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Sunflower,42,
Omeria Scott,US Senate,,DEM,,Sunflower,260,
Howard Sherman,US Senate,,DEM,,Sunflower,248,
Randy Mack Wadkins,US House Representatives,1,DEM,,Sunflower,,
Bennie Thompson,US House Representatives,2,DEM,,Sunflower,757,
Kevin Michael Aycox,US House Representatives,3,DEM,,Sunflower,,
Michael Ted Evans,US House Representatives,3,DEM,,Sunflower,,
Jeramey Anderson ,US House Representatives,4,DEM,,Sunflower,,
David Baria,US Senate,,DEM,,Tallahatchie,116,
Jensen Bohren,US Senate,,DEM,,Tallahatchie,22,
Jerone Garland,US Senate,,DEM,,Tallahatchie,35,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Tallahatchie,33,
Omeria Scott,US Senate,,DEM,,Tallahatchie,107,
Howard Sherman,US Senate,,DEM,,Tallahatchie,248,
Randy Mack Wadkins,US House Representatives,1,DEM,,Tallahatchie,,
Bennie Thompson,US House Representatives,2,DEM,,Tallahatchie,552,
Kevin Michael Aycox,US House Representatives,3,DEM,,Tallahatchie,,
Michael Ted Evans,US House Representatives,3,DEM,,Tallahatchie,,
Jeramey Anderson ,US House Representatives,4,DEM,,Tallahatchie,,
David Baria,US Senate,,DEM,,Tate,172,
Jensen Bohren,US Senate,,DEM,,Tate,32,
Jerone Garland,US Senate,,DEM,,Tate,47,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Tate,26,
Omeria Scott,US Senate,,DEM,,Tate,87,
Howard Sherman,US Senate,,DEM,,Tate,178,
Randy Mack Wadkins,US House Representatives,1,DEM,,Tate,405,
Bennie Thompson,US House Representatives,2,DEM,,Tate,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Tate,,
Michael Ted Evans,US House Representatives,3,DEM,,Tate,,
Jeramey Anderson ,US House Representatives,4,DEM,,Tate,,
David Baria,US Senate,,DEM,,Tippah,82,
Jensen Bohren,US Senate,,DEM,,Tippah,7,
Jerone Garland,US Senate,,DEM,,Tippah,10,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Tippah,9,
Omeria Scott,US Senate,,DEM,,Tippah,14,
Howard Sherman,US Senate,,DEM,,Tippah,68,
Randy Mack Wadkins,US House Representatives,1,DEM,,Tippah,159,
Bennie Thompson,US House Representatives,2,DEM,,Tippah,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Tippah,,
Michael Ted Evans,US House Representatives,3,DEM,,Tippah,,
Jeramey Anderson ,US House Representatives,4,DEM,,Tippah,,
David Baria,US Senate,,DEM,,Tishomingo,98,
Jensen Bohren,US Senate,,DEM,,Tishomingo,20,
Jerone Garland,US Senate,,DEM,,Tishomingo,20,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Tishomingo,10,
Omeria Scott,US Senate,,DEM,,Tishomingo,11,
Howard Sherman,US Senate,,DEM,,Tishomingo,92,
Randy Mack Wadkins,US House Representatives,1,DEM,,Tishomingo,225,
Bennie Thompson,US House Representatives,2,DEM,,Tishomingo,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Tishomingo,,
Michael Ted Evans,US House Representatives,3,DEM,,Tishomingo,,
Jeramey Anderson ,US House Representatives,4,DEM,,Tishomingo,,
David Baria,US Senate,,DEM,,Tunica,92,
Jensen Bohren,US Senate,,DEM,,Tunica,18,
Jerone Garland,US Senate,,DEM,,Tunica,23,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Tunica,13,
Omeria Scott,US Senate,,DEM,,Tunica,32,
Howard Sherman,US Senate,,DEM,,Tunica,68,
Randy Mack Wadkins,US House Representatives,1,DEM,,Tunica,,
Bennie Thompson,US House Representatives,2,DEM,,Tunica,269,
Kevin Michael Aycox,US House Representatives,3,DEM,,Tunica,,
Michael Ted Evans,US House Representatives,3,DEM,,Tunica,,
Jeramey Anderson ,US House Representatives,4,DEM,,Tunica,,
David Baria,US Senate,,DEM,,Union,95,
Jensen Bohren,US Senate,,DEM,,Union,22,
Jerone Garland,US Senate,,DEM,,Union,10,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Union,12,
Omeria Scott,US Senate,,DEM,,Union,39,
Howard Sherman,US Senate,,DEM,,Union,135,
Randy Mack Wadkins,US House Representatives,1,DEM,,Union,247,
Bennie Thompson,US House Representatives,2,DEM,,Union,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Union,,
Michael Ted Evans,US House Representatives,3,DEM,,Union,,
Jeramey Anderson ,US House Representatives,4,DEM,,Union,,
David Baria,US Senate,,DEM,,Walthall,84,
Jensen Bohren,US Senate,,DEM,,Walthall,22,
Jerone Garland,US Senate,,DEM,,Walthall,30,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Walthall,34,
Omeria Scott,US Senate,,DEM,,Walthall,143,
Howard Sherman,US Senate,,DEM,,Walthall,156,
Randy Mack Wadkins,US House Representatives,1,DEM,,Walthall,,
Bennie Thompson,US House Representatives,2,DEM,,Walthall,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Walthall,106,
Michael Ted Evans,US House Representatives,3,DEM,,Walthall,334,
Jeramey Anderson ,US House Representatives,4,DEM,,Walthall,,
David Baria,US Senate,,DEM,,Warren,385,
Jensen Bohren,US Senate,,DEM,,Warren,46,
Jerone Garland,US Senate,,DEM,,Warren,46,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Warren,82,
Omeria Scott,US Senate,,DEM,,Warren,524,
Howard Sherman,US Senate,,DEM,,Warren,568,
Randy Mack Wadkins,US House Representatives,1,DEM,,Warren,,
Bennie Thompson,US House Representatives,2,DEM,,Warren,1640,
Kevin Michael Aycox,US House Representatives,3,DEM,,Warren,,
Michael Ted Evans,US House Representatives,3,DEM,,Warren,,
Jeramey Anderson ,US House Representatives,4,DEM,,Warren,,
David Baria,US Senate,,DEM,,Washington,409,
Jensen Bohren,US Senate,,DEM,,Washington,37,
Jerone Garland,US Senate,,DEM,,Washington,31,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Washington,52,
Omeria Scott,US Senate,,DEM,,Washington,202,
Howard Sherman,US Senate,,DEM,,Washington,274,
Randy Mack Wadkins,US House Representatives,1,DEM,,Washington,,
Bennie Thompson,US House Representatives,2,DEM,,Washington,1021,
Kevin Michael Aycox,US House Representatives,3,DEM,,Washington,,
Michael Ted Evans,US House Representatives,3,DEM,,Washington,,
Jeramey Anderson ,US House Representatives,4,DEM,,Washington,,
David Baria,US Senate,,DEM,,Wayne,110,
Jensen Bohren,US Senate,,DEM,,Wayne,21,
Jerone Garland,US Senate,,DEM,,Wayne,17,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Wayne,41,
Omeria Scott,US Senate,,DEM,,Wayne,496,
Howard Sherman,US Senate,,DEM,,Wayne,153,
Randy Mack Wadkins,US House Representatives,1,DEM,,Wayne,,
Bennie Thompson,US House Representatives,2,DEM,,Wayne,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Wayne,,
Michael Ted Evans,US House Representatives,3,DEM,,Wayne,,
Jeramey Anderson ,US House Representatives,4,DEM,,Wayne,750,
David Baria,US Senate,,DEM,,Webster,35,
Jensen Bohren,US Senate,,DEM,,Webster,10,
Jerone Garland,US Senate,,DEM,,Webster,11,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Webster,10,
Omeria Scott,US Senate,,DEM,,Webster,48,
Howard Sherman,US Senate,,DEM,,Webster,56,
Randy Mack Wadkins,US House Representatives,1,DEM,,Webster,124,
Bennie Thompson,US House Representatives,2,DEM,,Webster,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Webster,,
Michael Ted Evans,US House Representatives,3,DEM,,Webster,,
Jeramey Anderson ,US House Representatives,4,DEM,,Webster,,
David Baria,US Senate,,DEM,,Wilkinson,90,
Jensen Bohren,US Senate,,DEM,,Wilkinson,30,
Jerone Garland,US Senate,,DEM,,Wilkinson,26,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Wilkinson,22,
Omeria Scott,US Senate,,DEM,,Wilkinson,144,
Howard Sherman,US Senate,,DEM,,Wilkinson,110,
Randy Mack Wadkins,US House Representatives,1,DEM,,Wilkinson,,
Bennie Thompson,US House Representatives,2,DEM,,Wilkinson,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Wilkinson,97,
Michael Ted Evans,US House Representatives,3,DEM,,Wilkinson,296,
Jeramey Anderson ,US House Representatives,4,DEM,,Wilkinson,,
David Baria,US Senate,,DEM,,Winston,100,
Jensen Bohren,US Senate,,DEM,,Winston,24,
Jerone Garland,US Senate,,DEM,,Winston,77,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Winston,39,
Omeria Scott,US Senate,,DEM,,Winston,321,
Howard Sherman,US Senate,,DEM,,Winston,206,
Randy Mack Wadkins,US House Representatives,1,DEM,,Winston,586,
Bennie Thompson,US House Representatives,2,DEM,,Winston,,
Kevin Michael Aycox,US House Representatives,3,DEM,,Winston,,
Michael Ted Evans,US House Representatives,3,DEM,,Winston,,
Jeramey Anderson ,US House Representatives,4,DEM,,Winston,,
David Baria,US Senate,,DEM,,Yalobusha,182,
Jensen Bohren,US Senate,,DEM,,Yalobusha,14,
Jerone Garland,US Senate,,DEM,,Yalobusha,31,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Yalobusha,13,
Omeria Scott,US Senate,,DEM,,Yalobusha,40,
Howard Sherman,US Senate,,DEM,,Yalobusha,184,
Randy Mack Wadkins,US House Representatives,1,DEM,,Yalobusha,,
Bennie Thompson,US House Representatives,2,DEM,,Yalobusha,454,
Kevin Michael Aycox,US House Representatives,3,DEM,,Yalobusha,,
Michael Ted Evans,US House Representatives,3,DEM,,Yalobusha,,
Jeramey Anderson ,US House Representatives,4,DEM,,Yalobusha,,
David Baria,US Senate,,DEM,,Yazoo,151,
Jensen Bohren,US Senate,,DEM,,Yazoo,26,
Jerone Garland,US Senate,,DEM,,Yazoo,29,
"Victor G. Maurice, Jr.",US Senate,,DEM,,Yazoo,30,
Omeria Scott,US Senate,,DEM,,Yazoo,93,
Howard Sherman,US Senate,,DEM,,Yazoo,281,
Randy Mack Wadkins,US House Representatives,1,DEM,,Yazoo,,
Bennie Thompson,US House Representatives,2,DEM,,Yazoo,658,
Kevin Michael Aycox,US House Representatives,3,DEM,,Yazoo,,
Michael Ted Evans,US House Representatives,3,DEM,,Yazoo,,
Jeramey Anderson ,US House Representatives,4,DEM,,Yazoo,,
David Baria,US Senate,,DEM,,TOTAL ,27244,
Jensen Bohren,US Senate,,DEM,,TOTAL ,2825,
Jerone Garland,US Senate,,DEM,,TOTAL ,4266,
"Victor G. Maurice, Jr.",US Senate,,DEM,,TOTAL ,4361,
Omeria Scott,US Senate,,DEM,,TOTAL ,21278,
Howard Sherman,US Senate,,DEM,,TOTAL ,27957,
Randy Mack Wadkins,US House Representatives,1,DEM,,TOTAL ,11692,
Bennie Thompson,US House Representatives,2,DEM,,TOTAL ,31203,
Kevin Michael Aycox,US House Representatives,3,DEM,,TOTAL ,7525,
Michael Ted Evans,US House Representatives,3,DEM,,TOTAL ,17016,
Jeramey Anderson ,US House Representatives,4,DEM,,TOTAL ,14560,
